property_type,zip,neighborhood,latitude,longitude
Medical Office,98105,NORTHEAST,47.65821313,-122.3183146
Medical Office,98105,NORTHEAST,47.65884177,-122.3182756
Self-Storage Facility,98107,BALLARD,47.66813102,-122.3941507
Non-Refrigerated Warehouse,98126,SOUTHWEST,47.56885038,-122.37123090000001
Hospital (General Medical & Surgical),98109,LAKE UNION,47.62652206,-122.32956696
Office,98144,GREATER DUWAMISH,47.57089656,-122.2974118
Retail Store,98125,NORTH,47.7240537,-122.29205290000002
Other - Services,98106,DELRIDGE NEIGHBORHOODS,47.56561534,-122.35402830000001
Parking,98103,LAKE UNION,47.64929601,-122.350499
Office,98109,MAGNOLIA / QUEEN ANNE,47.63548436,-122.3409248
Retail Store,98133,NORTHWEST,47.72050908,-122.34739280000001
Non-Refrigerated Warehouse,98133,NORTHWEST,47.72385371,-122.3407784
Strip Mall,98133,NORTHWEST,47.72548938,-122.3469881
Wholesale Club/Supercenter,98133,NORTHWEST,47.72842333,-122.3444389
Retail Store,98133,NORTHWEST,47.72545915,-122.34255290000002
Supermarket/Grocery Store,98133,NORTHWEST,47.72465497,-122.34491274
Office,98103,LAKE UNION,47.65060893,-122.3530578
Office,98103,LAKE UNION,47.64970141,-122.3517949
Office,98103,LAKE UNION,47.6487041,-122.3505842
Office,98103,LAKE UNION,47.6481342,-122.3484595
Office,98103,LAKE UNION,47.64884638,-122.348972
Office,98108,GREATER DUWAMISH,47.55172357,-122.32697144
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54988981,-122.3286358
Other,98108,GREATER DUWAMISH,47.55030549,-122.3260997
Office,98107,BALLARD,47.66897964,-122.38531494
Non-Refrigerated Warehouse,98107,BALLARD,47.66746426,-122.38565359999998
Parking,98107,BALLARD,47.66256332,-122.37516785
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,47.64716297,-122.37579140000001
Non-Refrigerated Warehouse,98119,MAGNOLIA / QUEEN ANNE,47.65563392,-122.3747028
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,47.63631236,-122.37547020000001
Retail Store,98105,NORTHEAST,47.66172585,-122.31796070000001
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54728272,-122.325775
Distribution Center,98108,GREATER DUWAMISH,47.54218643,-122.32903600000002
Distribution Center,98108,GREATER DUWAMISH,47.54218643,-122.32903600000002
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54851596,-122.32767709999999
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54851596,-122.32767709999999
